,source,subsource,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
device,manual,,object,0,100,0,,,,,,,,
ping_ms,ping,,float64,59963,71.09297415,0,147471,470.4389235,1418.017345,15.9,33.9,54.7,530,110676
datarate,iperf,pc[1-4](downlink)|server(uplink),float64,17838,91.40063828,0,189596,21227017.8,29472096.12,851,403000,13100000,30800000,271000000
jitter,iperf,pc[1-4](downlink)|server(uplink),float64,17838,91.40063828,0,189596,4121.009134,324721.7114,1.60E-05,0.000337,0.000952,0.003085,101416259.2
ts_gps,gps,,datetime64[ns],2492,98.79865403,0,,,,,,,,
Latitude,gps,,float64,2492,98.79865403,0,204942,52.50539035,0.008382998,52.469215,52.49955333,52.50654333,52.51267333,52.517725
Longitude,gps,,float64,2492,98.79865403,0,204942,13.32469683,0.028151407,13.23647,13.30453667,13.3223925,13.344655,13.37751833
Altitude,gps,,float64,2583,98.75478465,1,204851,37.39032907,8.766252582,-5.3,31.6,36.1,41.4,129.8
speed_kmh,gps,,float64,2492,98.79865403,67916,204942,18.21963264,17.58315897,0,0,15.742,32.5952,99.082
COG,gps,,float64,2492,98.79865403,114,204942,179.4210455,91.70853356,0,84.1,187.8,261.9,359.9
precipIntensity,darksky,,float64,2492,98.79865403,13384,204942,0.074758924,0.07053335,0,0.025,0.0533,0.1024,0.3389
precipProbability,darksky,,float64,2492,98.79865403,13384,204942,0.069689571,0.096985803,0,0.02,0.04,0.07,0.47
temperature,darksky,,float64,2492,98.79865403,0,204942,19.89642918,1.717130643,17.4,18.74,19.31,20.53,23.88
apparentTemperature,darksky,,float64,2492,98.79865403,0,204942,19.89642918,1.717130643,17.4,18.74,19.31,20.53,23.88
dewPoint,darksky,,float64,2492,98.79865403,0,204942,13.38848186,0.817888267,11.9,12.63,13.46,13.91,14.92
humidity,darksky,,float64,2492,98.79865403,0,204942,0.664013819,0.051153009,0.55,0.62,0.66,0.7,0.77
pressure,darksky,,float64,2492,98.79865403,0,204942,1016.606199,2.876301045,1011.9,1013.6,1018.1,1019.1,1019.5
windSpeed,darksky,,float64,2492,98.79865403,0,204942,2.661625094,0.686157565,1.96,2.22,2.31,2.82,4.38
cloudCover,darksky,,float64,2492,98.79865403,0,204942,0.94363981,0.064795246,0.76,0.95,0.96,0.99,1
uvIndex,darksky,,float64,2492,98.79865403,0,204942,3.148764041,0.814034153,1,3,3,4,4
visibility,darksky,,float64,2492,98.79865403,0,204942,16.093,0,16.093,16.093,16.093,16.093,16.093
Traffic Jam Factor,here,,float64,5370,97.41122478,3909,202064,3.15801779,2.003380765,0,2.08422,2.9272,3.40601,9.60259
Traffic Street Name,here,,object,2492,98.79865403,0,,,,,,,,
Traffic Distance,here,,float64,2492,98.79865403,48,204942,22.42228472,46.08942068,0,2.048610263,4.737330825,13.21047347,268.2520656
Pos in Ref Round,gps,utils.py:add_pos_in_ref_round,float64,16651,91.97286848,39,190783,8117.685801,4886.103542,0,4154.69842,7432.412256,12258.89484,17319.12992
measurement,manual,metadata/berlin_protocol.csv,int32,0,100,18960,207434,6.614132688,4.599886881,0,3,6,10,16
area,gps,utils.py:geotag,object,2492,98.79865403,0,,,,,,,,
PCell_RSRP_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-90.79865799,12.03367514,-175.97,-98.875,-91.249375,-82.710625,-55.32432432
