,source,subsource,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
Source,manual,filename,int32,0,100,0,325868,2.480756012,1.104803594,1,2,2,3,4
Destination,manual,filename,int64,0,100,0,325868,2.435179275,1.106063185,1,1,2,3,4
Scenario,manual,filename,object,0,100,0,,,,,,,,
time_epoch,sidelink,,float64,0,100,0,325868,1624413500,40871.9147,1624348309,1624371201,1624436260,1624450660,1624460821
SNR,sidelink,,float64,0,100,0,325868,13.81334667,4.927107859,-4.13102,10.18638162,13.62934267,17.23803494,32.451075
RSRP,sidelink,,float64,0,100,0,325868,-72.24348014,7.714109386,-91.1821,-77.95370806,-73.00455395,-67.62675953,-23.37702
RSSI,sidelink,,float64,0,100,0,325868,-47.01821028,7.424694501,-64.3882,-52.19443894,-47.78892295,-42.72468158,-2.611914
NOISE POWER,sidelink,,float64,0,100,0,325868,0.007311482,0.05096263,0.000201392,0.000613775,0.001053637,0.00245999,11.537822
RX_GAIN,sidelink,,float64,0,100,0,325868,44.06453893,4.145102827,16,41,44,45,76
SubFrame_NUMBER,sidelink,,float64,0,100,15,325868,511.1165862,269.9220148,0,277.6111111,511.1771242,744.5,1023
SubFrame_LENGHT,sidelink,,float64,0,100,1795,325868,4.928779294,2.265222465,0,3.08872549,4.8,6.846153846,9
Rx_power,sidelink,,float64,0,100,0,325868,0.533239439,8.824113872,0.000449273,0.011047858,0.037635361,0.137794383,2786.928
MCS,sidelink,,int32,0,100,0,325868,9.9158064,1.99823014,8,8,8,12,12
Received Packets,sidelink,preprocess/merge_sidelink.ipynb,int64,0,100,0,325868,23.88561012,13.97599505,1,17,20,33,66
ts_gps_source,gps,,datetime64[ns],0,100,0,,,,,,,,
Latitude_source,gps,,float64,0,100,0,325868,52.50532501,0.00797233,52.48799333,52.49982333,52.50584667,52.51220167,52.51617333
Longitude_source,gps,,float64,0,100,0,325868,13.32563561,0.027971854,13.28003833,13.30450833,13.32349917,13.34488833,13.37751833
Altitude_source,gps,,float64,0,100,2,325868,37.06823438,8.382970488,-1.2,31.3,36.1,41.4,87.3
speed_kmh_source,gps,,float64,0,100,103767,325868,17.79146168,16.61043578,0,0,15.9272,31.8544,77.5988
COG_source,gps,,float64,0,100,61,325868,184.3246293,90.10579264,0,84.2,197.8,262.6,359.9
precipIntensity_source,darksky,,float64,0,100,23651,325868,0.057700002,0.04112581,0,0.0242,0.0513,0.0742,0.1715
precipProbability_source,darksky,,float64,0,100,23651,325868,0.038329538,0.027079508,0,0.01,0.04,0.06,0.11
temperature_source,darksky,,float64,0,100,0,325868,20.19886129,1.779351925,17.47,19,19.7,21.54,23.88
apparentTemperature_source,darksky,,float64,0,100,0,325868,20.19886129,1.779351925,17.47,19,19.7,21.54,23.88
dewPoint_source,darksky,,float64,0,100,0,325868,13.29454175,0.921076393,11.9,12.56,12.94,14.02,14.92
humidity_source,darksky,,float64,0,100,0,325868,0.647407478,0.047729606,0.55,0.62,0.64,0.67,0.77
pressure_source,darksky,,float64,0,100,0,325868,1016.768823,3.018968297,1011.9,1013.7,1019.1,1019.2,1019.5
windSpeed_source,darksky,,float64,0,100,0,325868,2.678941473,0.623613656,2.11,2.25,2.36,2.83,4.29
cloudCover_source,darksky,,float64,0,100,0,325868,0.932980409,0.071659182,0.76,0.94,0.96,0.99,0.99
uvIndex_source,darksky,,float64,0,100,0,325868,3.274555955,0.702516058,2,3,3,4,4
visibility_source,darksky,,float64,0,100,0,325868,16.093,3.55E-15,16.093,16.093,16.093,16.093,16.093
Traffic_Jam_Factor_source,here,,float64,0,100,7293,325868,3.092383377,1.92823629,0,2.09042,2.90806,3.35804,9.55556
Traffic_Street_Name_source,here,,object,0,100,0,,,,,,,,
Traffic_Distance_source,here,,float64,0,100,74,325868,17.53834238,36.26861648,0,1.950881768,4.425532729,11.59698912,199.8972404
Pos_in_Ref_Round_source,gps,utils.py:add_pos_in_ref_round,float64,0,100,61,325868,7735.844109,4730.316933,0,3964.606703,6872.414667,11894.0539,17319.12992
device_source,manual,filename,object,0,100,0,,,,,,,,
area_source,gps,utils.py:geotag,object,0,100,0,,,,,,,,
ts_gps_destination,gps,,datetime64[ns],0,100,0,,,,,,,,
Latitude_destination,gps,,float64,0,100,0,325868,52.50532495,0.00797203,52.48799333,52.49982333,52.50584667,52.51220167,52.51617333
Longitude_destination,gps,,float64,0,100,0,325868,13.32563294,0.027969046,13.28003833,13.30451,13.32349667,13.34486667,13.37751833
Altitude_destination,gps,,float64,0,100,2,325868,37.16463844,8.537193705,-1.2,31.3,36,41.4,87.3
speed_kmh_destination,gps,,float64,0,100,103813,325868,17.79060578,16.61088029,0,0,15.9272,31.8544,77.5988
COG_destination,gps,,float64,0,100,63,325868,184.3584706,90.12070797,0,84.2,197.7,262.6,359.9
precipIntensity_destination,darksky,,float64,0,100,23651,325868,0.057700981,0.041126927,0,0.0242,0.0513,0.0742,0.1715
precipProbability_destination,darksky,,float64,0,100,23651,325868,0.038329999,0.027079859,0,0.01,0.04,0.06,0.11
temperature_destination,darksky,,float64,0,100,0,325868,20.19885322,1.77935258,17.47,19,19.7,21.54,23.88
apparentTemperature_destination,darksky,,float64,0,100,0,325868,20.19885322,1.77935258,17.47,19,19.7,21.54,23.88
dewPoint_destination,darksky,,float64,0,100,0,325868,13.29456111,0.921105239,11.9,12.56,12.94,14.02,14.92
humidity_destination,darksky,,float64,0,100,0,325868,0.647408491,0.047729047,0.55,0.62,0.64,0.67,0.77
pressure_destination,darksky,,float64,0,100,0,325868,1016.768826,3.01896473,1011.9,1013.7,1019.1,1019.2,1019.5
windSpeed_destination,darksky,,float64,0,100,0,325868,2.678936011,0.623616921,2.11,2.25,2.36,2.83,4.29
cloudCover_destination,darksky,,float64,0,100,0,325868,0.932980839,0.071659186,0.76,0.94,0.96,0.99,0.99
uvIndex_destination,darksky,,float64,0,100,0,325868,3.274546749,0.702513103,2,3,3,4,4
visibility_destination,darksky,,float64,0,100,0,325868,16.093,3.55E-15,16.093,16.093,16.093,16.093,16.093
Traffic_Jam_Factor_destination,here,,float64,0,100,7494,325868,3.090356102,1.930060871,0,2.09042,2.90616,3.35804,9.55556
Traffic_Street_Name_destination,here,,object,0,100,0,,,,,,,,
Traffic_Distance_destination,here,,float64,0,100,80,325868,17.5111689,36.17321803,0,1.941254636,4.423566518,11.63887785,199.8972404
Pos_in_Ref_Round_destination,gps,utils.py:add_pos_in_ref_round,float64,0,100,62,325868,7735.332436,4730.045016,0,3964.606703,6872.414667,11894.0539,17319.12992
device_destination,manual,filename,object,0,100,0,,,,,,,,
area_destination,gps,utils.py:geotag,object,0,100,0,,,,,,,,
syncref_source,manual,preprocess/merge_sidelink.ipynb,bool,0,100,243734,,,,,,,,
syncref_destination,manual,preprocess/merge_sidelink.ipynb,bool,0,100,250014,,,,,,,,
distance,gps,preprocess/merge_sidelink.ipynb,float64,0,100,42,325868,25.45075658,22.85579238,0,11.61182947,18.67260982,31.79258522,408.4803813
Packet_transmission_rate_hz,sidelink,preprocess/merge_sidelink.ipynb,int64,0,100,0,325868,34.368548,14.98672605,20,20,20,50,50
Sub_channels,manual,metadata/sidelink_scenarios.csv,int64,0,100,0,325868,5.8316128,3.996460279,2,2,2,10,10
Packet_error_ratio,manual,metadata/sidelink_scenarios.csv,float64,0,100,107571,325868,0.242136878,0.318406891,-0.32,0,0.06,0.42,0.98
timestamp,,index,"datetime64[ns, Europe/Berlin]",0,100,0,325868,,,2021-06-22 09:51:48+02:00,,,,2021-06-23 17:07:00+02:00
